20,3,-1.0,11120,1,981,0,3,0,1,0,24,2,2,0,2,6,6,1984,1984,1,1,9,10,10,0.0,3,4,2,39,40,41,38,660,43,0,572,1232,1,4,1,5,1232,0,0,1232,0,0,2,0,3,1,3,6,6,0,596,82,1984.0,83,2,516,85,85,2,0,0,0,0,0,0,1041,806,990,0,6,2008,8,4,162500
75,3,60.0,8400,1,738,3,0,0,4,1,18,2,2,0,3,5,8,1939,1997,1,1,13,14,10,0.0,3,4,2,40,40,41,40,378,43,0,342,720,1,0,1,5,1052,720,420,2192,0,0,2,1,4,1,2,8,6,1,692,86,1939.0,83,1,240,85,85,2,262,24,0,0,0,0,753,701,751,0,7,2008,8,4,179500
20,3,150.0,215245,1,873,2,2,0,4,2,23,2,2,0,2,7,5,1965,1965,3,1,3,3,10,0.0,3,4,1,39,40,39,37,1236,42,820,80,2136,2,4,1,5,2036,0,0,2036,2,0,2,0,3,1,3,8,6,2,692,82,1965.0,82,2,513,85,85,2,0,0,0,0,0,0,890,656,884,0,6,2009,8,4,375000
60,3,-1.0,8795,1,249,0,3,0,4,0,8,2,2,0,5,7,5,2000,2000,1,1,12,13,10,0.0,2,4,2,39,40,41,39,300,43,0,652,952,1,0,1,5,980,1276,0,2256,0,0,2,1,4,1,2,8,6,1,694,84,2000.0,81,2,554,85,85,2,224,54,0,0,0,0,228,184,260,0,4,2009,8,4,236000
50,3,55.0,7642,1,280,3,3,0,0,0,6,2,2,0,0,7,8,1918,1998,1,1,13,14,10,0.0,2,4,0,40,40,41,42,0,43,0,912,912,1,2,1,5,912,514,0,1426,0,0,1,1,3,1,2,7,6,1,692,86,1925.0,83,1,216,85,85,2,0,240,0,0,0,0,343,1179,312,0,6,2007,8,4,189950
20,2,60.0,8400,1,803,3,3,0,4,0,20,1,2,0,2,4,4,1950,1950,1,1,13,0,10,0.0,1,1,1,40,37,41,42,0,43,0,721,721,1,2,1,5,841,0,0,841,0,0,1,0,2,1,3,4,6,0,504,85,1950.0,83,1,294,85,85,0,250,0,24,0,0,0,839,776,813,0,9,2009,8,4,82000
20,3,80.0,10400,1,1041,3,3,0,4,0,14,2,2,0,2,7,6,1970,1970,3,1,9,10,9,288.0,3,4,2,40,40,41,42,0,43,0,1304,1304,1,2,1,5,1682,0,0,1682,0,0,2,0,3,1,3,7,6,1,692,82,1970.0,83,2,530,85,85,2,98,0,0,0,0,0,1044,1181,1060,0,5,2008,8,4,174000
90,3,80.0,8000,1,340,3,3,0,0,0,12,0,2,2,2,5,4,1961,1961,1,1,3,3,10,0.0,3,4,1,40,40,41,42,0,43,0,1800,1800,1,0,0,5,1800,0,0,1800,0,0,2,0,6,2,3,10,6,0,57,33,-1.0,52,0,0,43,39,2,0,0,0,0,0,0,340,266,350,0,7,2007,8,4,141000
75,4,92.0,5520,1,759,3,3,0,0,0,17,2,2,0,3,6,6,1912,1950,1,1,13,14,10,0.0,3,4,1,40,40,41,42,0,43,0,755,755,1,0,1,5,929,929,371,2229,0,0,1,0,5,1,3,8,6,0,608,30,-1.0,49,0,0,35,22,2,0,198,30,0,0,0,777,1181,772,0,7,2009,8,0,104000
30,3,-1.0,8854,1,478,3,3,0,4,0,3,2,2,0,1,6,6,1916,1950,1,1,13,14,10,0.0,3,4,0,40,40,41,42,0,43,0,952,952,3,1,0,2,952,0,0,952,0,0,1,0,2,1,1,4,6,1,692,86,1916.0,83,1,192,82,84,1,0,98,0,0,40,0,491,439,483,0,5,2009,8,4,121000
