 6, 181.0, 110.0, 2945., 16.4, 82, 1,25.0
 4, 122.0, 88.00, 2500., 15.1, 80, 2,35.0
 6, 168.0, 120.0, 3820., 16.7, 76, 2,16.5
 4, 140.0, 92.00, 2572., 14.9, 76, 1,25.0
 4, 156.0, 105.0, 2745., 16.7, 78, 1,23.2
 6, 173.0, 115.0, 2595., 11.3, 79, 1,28.8
 4, 120.0, 74.00, 2635., 18.3, 81, 3,31.6
 4, 97.00, 60.00, 1834., 19.0, 71, 2,27.0
 4, 141.0, 71.00, 3190., 24.8, 79, 2,27.2
 5, 183.0, 77.00, 3530., 20.1, 79, 2,25.4
 4, 135.0, 84.00, 2295., 11.6, 82, 1,32.0
 4, 98.00, 63.00, 2051., 17.0, 77, 1,30.5
 4, 97.00, 88.00, 2279., 19.0, 73, 3,20.0
 4, 96.00, 69.00, 2189., 18.0, 72, 2,26.0
 8, 307.0, 130.0, 3504., 12.0, 70, 1,18.0
 8, 318.0, 140.0, 3735., 13.2, 78, 1,19.4
 6, 163.0, 125.0, 3140., 13.6, 78, 2,17.0
 8, 350.0, 145.0, 4055., 12.0, 76, 1,13.0
 4, 120.0, 79.00, 2625., 18.6, 82, 1,28.0
 6, 232.0, 90.00, 3085., 17.6, 76, 1,22.5
 8, 350.0, 160.0, 4456., 13.5, 72, 1,12.0
 4, 112.0, 88.00, 2640., 18.6, 82, 1,27.0
 4, 140.0, 72.00, 2408., 19.0, 71, 1,22.0
 6, 198.0, 95.00, 2833., 15.5, 70, 1,22.0
 4, 121.0, 115.0, 2795., 15.7, 78, 2,21.6
 8, 318.0, 150.0, 4237., 14.5, 73, 1,14.0
 6, 231.0, 115.0, 3245., 15.4, 79, 1,21.5
 4, 97.00, 52.00, 2130., 24.6, 82, 2,44.0
 8, 302.0, 139.0, 3205., 11.2, 78, 1,18.1
 4, 85.00, 65.00, 1975., 19.4, 81, 3,37.0
 6, 258.0, 110.0, 3730., 19.0, 75, 1,15.0
 4, 89.00, 62.00, 2050., 17.3, 81, 3,37.7
 6, 225.0, 95.00, 3264., 16.0, 75, 1,19.0
 4, 97.00, 78.00, 2300., 14.5, 74, 2,26.0
 4, 85.00, 65.00, 2020., 19.2, 79, 3,31.8
 8, 304.0, 150.0, 4257., 15.5, 74, 1,14.0
 4, 116.0, 90.00, 2123., 14.0, 71, 2,28.0
 6, 156.0, 122.0, 2807., 13.5, 73, 3,20.0
 8, 400.0, 190.0, 4422., 12.5, 72, 1,13.0
 4, 135.0, 84.00, 2370., 13.0, 82, 1,36.0
 6, 146.0, 120.0, 2930., 13.8, 81, 3,24.2
 8, 307.0, 130.0, 4098., 14.0, 72, 1,13.0
 8, 305.0, 140.0, 4215., 13.0, 76, 1,17.5
 4, 90.00, 70.00, 1937., 14.2, 76, 2,29.0
 8, 350.0, 165.0, 4274., 12.0, 72, 1,13.0
 4, 91.00, 70.00, 1955., 20.5, 71, 1,26.0
 4, 151.0, 90.00, 2556., 13.2, 79, 1,33.5
 4, 119.0, 97.00, 2545., 17.0, 75, 3,24.0
 6, 231.0, 110.0, 3039., 15.0, 75, 1,21.0
 8, 400.0, 150.0, 4997., 14.0, 73, 1,11.0
 4, 97.50, 80.00, 2126., 17.0, 72, 1,25.0
 4, 91.00, 53.00, 1795., 17.4, 76, 3,33.0
 8, 360.0, 150.0, 3940., 13.0, 79, 1,18.5
 4, 97.00, 88.00, 2130., 14.5, 71, 3,27.0
 4, 121.0, 98.00, 2945., 14.5, 75, 2,22.0
 6, 250.0, 100.0, 3278., 18.0, 73, 1,16.0
 4, 121.0, 76.00, 2511., 18.0, 72, 2,22.0
 4, 90.00, 75.00, 2125., 14.5, 74, 1,28.0
 4, 120.0, 88.00, 2160., 14.5, 82, 3,36.0
 6, 232.0, 100.0, 2634., 13.0, 71, 1,19.0
 4, 91.00, 67.00, 1965., 15.7, 82, 3,32.0
 6, 250.0, 100.0, 3329., 15.5, 71, 1,17.0
 6, 225.0, 90.00, 3381., 18.7, 80, 1,19.1
 4, 98.00, 60.00, 2164., 22.1, 76, 1,24.5
 4, 97.00, 46.00, 1835., 20.5, 70, 2,26.0
